Date,Time,Location,Operator,Flight #,Route,AC Type,Registration,cn/ln,Aboard,Aboard Passangers,Aboard Crew,Fatalities,Fatalities_Passangers,Fatalities Crew,Ground,Summary,Year
1999-01-12,17:00,"Guernsey, Channel Islands, England",Channel Express,,London - Guernsey,Fokker F-27 Friendship 600,G-CHNL,10508,2,0,2,2,0,2,0,"During approach the cargo planel,assumed a nose-high attitude, stalled, hit a house and crashed into a field short of the runway. The aircraft was operated outside the load and balance limitations",1999
1999-01-13,,"Geilenkirchen, Germany",Military - German Air National Guard,,Refueling,Boeing KC-135E,59-1452,17940/355,4,0,4,4,0,4,0,"After completing an air refueling mission the plane pitched upward, stalled and crashed.",1999
1999-01-13,06:33,"Mayne Island, British Columbia, Canada",Kelowna Flightcraft Air Charter,,Vancouver - Victoria,Douglas DC-3C,C-GWUG,32963,2,0,2,2,0,2,0,"Shortly after taking off, the cargo plane began to lose altitude until it hit trees, went off a cliff and crashed to a valley floor. The accident flight was not conducted in accordance with the night obstacle clearance requirements of Canadian Aviation Regulation. The Kelowna Flightcraft company operations manual did not reflect the restrictive conditions imposed on night visual flight rules (VFR) flight by CAR 705.32. Such information might have prevented the accident by ensuring the crew's awareness of those night obstacle clearance standards.",1999
1999-02-08,,"Kinshasa,  Democratic Republic Congo",Air Karibu,,Kinshasa - Mbandaka,Lockheed L-188A Electra,9Q-CDI,1037,7,0,7,7,0,7,0,"After taking off, the cargo plane lost the No. 3 engine. The crew tried to return to the airport but the plane lost altitude and crashed.",1999
1999-03-19,09:45,"Davis Inlet, Newfoundland, Canada",Provincial Airlines,960,Goose Bay - Davis Inlet,de Havilland Canada DHC-6 Twin Otter 300,C-FWLQ,724,2,0,2,1,0,1,0,"On approach, the crew of the cargo plane descended to MDA and initiated a go-around after the runway was not seen.  On the second approach the captain descended below MDA and  the aircraft struck the ground in controlled flight 2 nm short of the runway. The aircraft was destroyed. The captain decided to descend below the minimum descent altitude without the required visual references. After descending below MDA, both pilots were preoccupied with acquiring and maintaining visual contact with the ground and did not adequately monitor the flight instruments; thus, the aircraft flew into the ice.",1999
1999-04-07,11:30,"Ribeirao Preto, Brazil",Manacá Táxi Aéreo,,Training,Learjet 24D,PT-LEM,24-270,5,0,5,5,0,5,0,The pilot-in-command lost control during touch-and-go landing and crashed.,1999
1999-04-07,00:33,"Near Ceyhan, Turkey",Turkish Airlines (THY),5904,Adana - Ciddah,Boeing 737-4Q8,TC-JEP,25378/2732,6,0,6,6,0,6,0,The aircraft departed Adana to pick up Turkish pilgrims. The plane crashed 9 minutes after taking off in poor weather conditions. Severe weather probably contributed to the cause of the accident. Pitot anti-icing system was probably not activated because of missed checklist items. The crew failed to recognize the cause of erratic airspeed indications and failed to use other cockpit indications for control and recovery of the aircraft.,1999
1999-04-15,16:05,"Shanghi, China",Korean Air,6316,"Shanghi, China - Seoul, Korea",McDonnell Douglas MD-11,HL-7373,48409/490,3,0,3,3,0,3,0,"Shortly after taking off  and after getting into a disagreement with the first officer about the planes altitude, the captain pushed down on the control column and the plane entered a rapid descent. Both crew members tried to recover from the dive but were unable to gain control and the plane crashed into the ground and was destroyed.",1999
1999-05-24,13:15,"Kuching, Malaysia",Military - Malaysian Air Force,,Training,de Havilland Canada DHC-4A,M21-05,270,5,0,5,5,0,5,0,Crashed while attempting to take off.,1999
1999-05-29,14:30,"Ol Kiombo, Kenya",Malindi Air Services,,Ol Kiombo - Mara Sika AS,Let 410UVP-E,5Y-LET,912620,2,0,2,2,0,2,0,Failed to gain altitude while taking off and crashed. The plane was on a positioning flight to pick up passengers.,1999
