Date,Time,Location,Operator,Flight #,Route,AC Type,Registration,cn/ln,Aboard,Aboard Passangers,Aboard Crew,Fatalities,Fatalities_Passangers,Fatalities Crew,Ground,Summary,Year
1999-01-02,,"Near Huambo, Angola",Transafrik - United Nations Charter,,Huambo - Luanda,Lockheed L-100-30 Hercules,D2-EHD,4839,9,5,4,9,5,4,0,"he United Nations-chartered plane was shot down by UNITA rebels, 20 minutes after takeoff from Huambo.",1999
1999-01-12,17:00,"Guernsey, Channel Islands, England",Channel Express,,London - Guernsey,Fokker F-27 Friendship 600,G-CHNL,10508,2,0,2,2,0,2,0,"During approach the cargo planel,assumed a nose-high attitude, stalled, hit a house and crashed into a field short of the runway. The aircraft was operated outside the load and balance limitations",1999
1999-01-13,,"Geilenkirchen, Germany",Military - German Air National Guard,,Refueling,Boeing KC-135E,59-1452,17940/355,4,0,4,4,0,4,0,"After completing an air refueling mission the plane pitched upward, stalled and crashed.",1999
1999-01-13,06:33,"Mayne Island, British Columbia, Canada",Kelowna Flightcraft Air Charter,,Vancouver - Victoria,Douglas DC-3C,C-GWUG,32963,2,0,2,2,0,2,0,"Shortly after taking off, the cargo plane began to lose altitude until it hit trees, went off a cliff and crashed to a valley floor. The accident flight was not conducted in accordance with the night obstacle clearance requirements of Canadian Aviation Regulation. The Kelowna Flightcraft company operations manual did not reflect the restrictive conditions imposed on night visual flight rules (VFR) flight by CAR 705.32. Such information might have prevented the accident by ensuring the crew's awareness of those night obstacle clearance standards.",1999
1999-01-16,14:30,"Coconut Island, QLD, Australia",Uzu Air,,Horn Island - Coconut Island,Britten Norman BN-2A-26,VH-XFF,763,4,3,1,3,2,1,0,"After initiating a go-around, the aircraft veered left and commenced a shallow climb before suddenly rolling right and descending steeply onto a tidal flat. The pilot initiated a go-around from final approach because of a vehicle on the airstrip. The left propeller showed little evidence of rotation damage. The reason for a possible loss of left engine power could not be determined. For reasons that could not be established, the pilot lost control of the aircraft at a low height.",1999
1999-01-21,08:10,"Bluefields, Nicaragua",Fuerza Aérea Nicaragua,,Managua - Bluefields,Antonov AN-26,,,28,21,7,28,21,7,0,"The plane, on a relief mission to Bluefields was waved off from landing because of a blocked runway. While navigating around for another landing attempt, the aircraft crashed into mountainous terrain.",1999
1999-02-02,05:08,"Luanda, Angola",Savannair,,Luanda - Lucapa,Antonov AN-12,EL-ASS,3340909,14,10,4,14,10,4,13,"The plane was on a flight to Lucapa, when it was forced to return to Luanda due to engine trouble. While approaching Luanda, the aircraft crashed into the Cazenga district of Luanda destroying five houses.",1999
1999-02-03,10:20,"Hoskins, Papua New Guinea",Airlink,,Hoskins - Kandrian,Britten Norman BN-2A Trislander,P2-ALH,761,11,10,1,11,10,1,0,The aircraft crashed 15 minutes after taking off from Hoskins en route to Kandrian. The aircraft broke-up in midair after encountering severe weather and crashed into a oil palm plantation in flat terrain.,1999
1999-02-08,,"Kinshasa,  Democratic Republic Congo",Air Karibu,,Kinshasa - Mbandaka,Lockheed L-188A Electra,9Q-CDI,1037,7,0,7,7,0,7,0,"After taking off, the cargo plane lost the No. 3 engine. The crew tried to return to the airport but the plane lost altitude and crashed.",1999
1999-02-24,16:34,"Rui'an, China",China Southwest Airlines,4509,Chengdu - Wenzhou,Tupolev TU-154,B-2622,90A-846,61,50,11,61,50,11,0,"The aircraft was on a flight from Chengdu to Wenzhou when it crashed into a field while on approach to Wenzhou Airport. Witnesses saw the plane nose-dive into the ground from an altitude of 2,300 feet and explode. A self-locking nut, other than a castle nut with cotter pin as specified, had been installed at the bolt for connection between the pull rod and bellcranck in the elevator control system. The nut screwed off, resulting in bolt loss, which led to the loss of pitch control.",1999
